hanzi,pinyin,english
外语,wài yǔ,foreign language
玩儿,wánr,play
晚,wǎn,late
晚饭,wǎn fàn,dinner
晚上,wǎn shang,evening / night
网上,wǎng shàng,online
网友,wǎng yǒu,"internet friend / 
friend on the internet"
忘,wàng,forget / overlook / neglect
忘记,wàng jì,forget
问,wèn,ask
我,wǒ,I / me
我们,wǒ men,we / us
五,wǔ,five
午饭,wǔ fàn,lunch
西,xī,west
西边,xī bian,west / west side
洗,xǐ,wash
洗手间,xǐ shǒu jiān,restroom / washroom
喜欢,xǐ huan,like
下,xià,below / down / go down / get off
下班,xià bān,get off work / finish work
下边,xià bian,underside / below / under
下车,xià chē,get off
下次,xià cì,next time
下课,xià kè,finish class / class is over
下午,xià wǔ,afternoon
下雨,xià yǔ,to rain
先,xiān,before / first
先生,xiān sheng,Sir / Mr.
现在,xiàn zài,now
想,xiǎng,think
小,xiǎo,small
小孩儿,xiǎo háir,child / kid
小姐,xiǎo jiě,Miss
小朋友,xiǎo péng you,child / kid
小时,xiǎo shí,hour
小学,xiǎo xué,primary school / elementary school
小学生,xiǎo xué shēng,"primary school student / 
elementary school student"
笑,xiào,laugh
写,xiě,write
谢谢,xiè xie,Thank you
新,xīn,new
新年,xīn nián,New Year
星期,xīng qī,week
星期日,xīng qī rì,Sunday
星期天,xīng qī tiān,Sunday
行,xíng,That's ok / good / OK
休息,xiū xi,rest / take a break
学,xué,learn / study
学生,xué sheng,student
学习,xué xí,study
学校,xué xiào,school
学院,xué yuàn,college / academy
要,yào,want
爷爷,yé ye,grandpa
也,yě,also
页,yè,page
一,yī,one
衣服,yī fu,clothes
医生,yī shēng,doctor
医院,yī yuàn,hospital
一半,yí bàn,half
一会儿,yí huìr,a moment / a little while / in a moment
一块儿,yí kuàir,together
一下儿,yí xiàr,"(used after a verb) give it a go / 
to do (sth for a bit to give it a try)"
一样,yí yàng,the same / equally
一边,yì biān,one side
一点儿,yī diǎnr,a little bit
一起,yì qǐ,together
一些,yì xiē,some
用,yòng,use
有,yǒu,have
有的,yǒu de,some
有名,yǒu míng,famous
有时候 / 有时,yǒu shí hou / yǒu shí,sometimes
有（一）些,yǒu （ yì ） xiē,some
有用,yǒu yòng,useful
右,yòu,right
右边,yòu bian,right side / right
雨,yǔ,rain
元,yuán,"currency unit
(esp. Chinese yuan)"
远,yuǎn,far
月,yuè,month
再,zài,again
再见,zài jiàn,goodbye
在,zài,at / in
在家,zài jiā,at home
早,zǎo,early
早饭,zǎo fàn,breakfast
早上,zǎo shang,morning
怎么,zěn me,how
站,zhàn,station / stand
找,zhǎo,look for
找到,zhǎo dào,find
这,zhè,this / here
这边,zhè biān,this side / here
这里,zhè lǐ,here
这儿,zhèr,here
这些,zhè xiē,these
着,zhe,"particle: in process of
(indicating action in progress)"
真,zhēn,really
真的,zhēn de,true / real
正,zhèng,just / exactly
正在,zhèng zài,"in process of (doing sth) / 
just at (that time) / right in (that place)"
知道,zhī dào,know
知识,zhīshi,knowledge
中,zhōng,middle / in
中国,zhōng guó,China
中间,zhōng jiān,middle
中文,zhōng wén,Chinese (language)
中午,zhōng wǔ,noon
中学,zhōng xué,middle school
中学生,zhōng xué shēng,middle School student
重,zhòng,heavy
重要,zhòng yào,important
住,zhù,live
准备,zhǔn bèi,get ready / prepare
桌子,zhuō zi,table / desk
字,zì,word / character
子,zi,"noun suffix
e.g. 桌子 zhuō zi (table) 椅子 yǐ zi (chair)"
走,zǒu,go / walk
走路,zǒu lù,walk / take a walk
最,zuì,most
最好,zuì hǎo,best
最后,zuì hòu,last
昨天,zuó tiān,yesterday
左,zuǒ,left
左边,zuǒ bian,left side
坐,zuò,sit
坐下,zuò xia,sit down
做,zuò,do
